timestamp,node_id,temperature_c,humidity_pct,heat_index_c,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,accel_total,seismic_dev,mq135_raw,co2_eq_ppm,soil_raw,soil_moisture_pct,tds_raw,tds_ppm,rain_raw,rain_wetness_pct,distance_cm,water_rate_cm_min,pir_motion,hazard_code,hazard_label,severity,risk_score,confidence_pct
2026-09-01 00:00:00,IN-DELHI-01,29.1,68.4,33.9,1006.0,170.9,1.09,-0.11,10.85,10.9,1.09,108,1696,3963,4,18,27.0,4061,1,180.7,0.0,0,4,HAZARDOUS_AIR_POLLUTION,Severe,85.0,96.1
2026-09-01 00:00:05,IN-DELHI-01,27.4,64.6,30.8,1000.6,216.3,0.94,-0.23,10.91,10.96,1.15,20,480,1847,80,524,1021.8,3691,13,107.5,-1.68,1,5,WATER_CONTAMINATION,Severe,85.4,93.5
2026-09-01 00:00:10,IN-DELHI-01,42.3,17.9,42.9,997.5,242.5,1.01,-0.17,10.78,10.83,1.02,114,1369,4081,0,10,15.0,4095,0,190.8,0.0,0,3,WILDFIRE,Extreme,93.2,87.8
2026-09-01 00:00:15,IN-DELHI-01,24.4,62.7,26.4,1007.5,158.7,1.09,-0.16,10.81,10.87,1.06,179,2548,3951,5,9,13.5,4050,1,182.5,0.0,1,4,HAZARDOUS_AIR_POLLUTION,Severe,93.5,98.0
2026-09-01 00:00:20,IN-DELHI-01,29.2,65.7,33.6,1004.7,182.2,1.04,-0.22,10.77,10.82,1.01,214,2968,3948,5,16,24.0,4077,0,180.2,0.0,0,4,HAZARDOUS_AIR_POLLUTION,Extreme,97.7,96.8
2026-09-01 00:00:25,IN-DELHI-01,21.4,87.7,24.4,993.5,276.4,2.84,1.45,10.37,10.85,1.04,10,435,1327,99,270,432.0,1374,93,121.2,-6.38,0,2,LANDSLIDE_PRECURSOR,Extreme,99.0,87.5
2026-09-01 00:00:30,IN-DELHI-01,23.0,88.9,26.9,992.4,286.0,-1.42,-0.93,9.86,10.0,0.19,9,431,1238,100,194,310.4,1598,86,157.9,-1.18,1,2,LANDSLIDE_PRECURSOR,Extreme,97.4,93.9
2026-09-01 00:00:35,IN-DELHI-01,24.0,66.5,26.2,1000.3,219.0,0.98,-0.16,10.93,10.97,1.16,15,460,1882,79,749,1460.5,3534,19,105.8,-1.04,0,5,WATER_CONTAMINATION,Severe,94.2,91.1
2026-09-01 00:00:40,IN-DELHI-01,26.4,50.1,27.7,1001.5,209.0,1.22,-0.22,10.89,10.96,1.15,2,407,4026,2,14,21.0,4082,0,194.6,-0.03,0,0,NORMAL,None,5.9,96.0
2026-09-01 00:00:45,IN-DELHI-01,29.3,54.7,32.3,1002.8,197.8,1.11,-0.18,10.69,10.75,0.94,2,407,4023,2,8,12.0,4084,0,176.7,0.04,0,0,NORMAL,None,5.2,94.2
2026-09-01 00:00:50,IN-DELHI-01,29.0,58.2,32.4,1004.4,184.3,1.01,-0.18,10.76,10.81,1.0,195,2740,3952,5,11,16.5,4061,1,181.9,0.0,0,4,HAZARDOUS_AIR_POLLUTION,Extreme,95.4,91.9
2026-09-01 00:00:55,IN-DELHI-01,27.9,50.7,29.9,1001.1,212.1,1.17,-0.17,10.81,10.88,1.07,10,435,4014,2,7,10.5,4077,0,169.6,0.02,0,0,NORMAL,None,8.8,95.3
2026-09-01 00:01:00,IN-DELHI-01,25.8,74.9,29.6,1001.9,205.9,1.03,-0.19,10.73,10.78,0.97,7,428,1990,75,665,1296.8,3012,37,67.8,-1.14,0,5,WATER_CONTAMINATION,Severe,90.9,85.8
2026-09-01 00:01:05,IN-DELHI-01,43.7,21.6,45.8,998.5,234.3,1.04,-0.18,10.88,10.93,1.12,147,1649,4085,0,9,13.5,4095,0,180.1,0.0,0,3,WILDFIRE,Extreme,98.0,88.8
2026-09-01 00:01:10,IN-DELHI-01,27.9,55.5,30.4,1000.9,214.0,1.07,-0.24,10.48,10.54,0.73,21,473,4090,0,1,1.5,4059,1,185.3,0.1,0,0,NORMAL,None,11.3,95.8
2026-09-01 00:01:15,IN-DELHI-01,24.8,69.5,27.6,997.0,247.0,1.07,-0.2,10.74,10.8,0.99,6,424,1882,79,657,1281.1,3254,29,81.8,-2.12,0,5,WATER_CONTAMINATION,Severe,90.6,90.7
2026-09-01 00:01:20,IN-DELHI-01,39.0,15.7,39.0,994.9,264.5,1.1,-0.34,10.72,10.78,0.97,133,1530,4095,0,5,7.5,4095,0,192.0,0.0,0,3,WILDFIRE,Severe,81.4,90.3
